"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"fold_armel","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:17:04.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00005310244159772992","1","","0.9935","0.9935","0.016649988023721286","0.005288534706935423"
"fold_arm64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:15:54.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00010941045911749824","1","","0.9862486248624862","0.9862486248624862","0.03330754076504443","0.0057505570926686825"
"fold_amd64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:14:46.000Z","66","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0001744716864777729","1","","0.9649564819056344","0.9649564819056344","0.11320603694901736","0.005275273064464882"
"fold_alpha","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:13:38.000Z","66","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0014841961674392223","1","","0.14202971543691764","0.14202971543691764","6.2726142065865655","0.005641183419244472"
"overall_metrics","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:13:24.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","","","0.7929456922039525","","","",""
"fold_x32","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:11:59.000Z","84","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.09716736525297164","1","","0.994013409961686","0.994013409961686","0.036999470762869656","0.005084169460947947"
"fold_sparc64","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:10:34.000Z","84","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00019771601364482191","1","","0.9990842490842492","0.9990842490842492","0.0022615033189700064","0.005942445626305144"
"fold_sparc","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:09:10.000Z","83","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00009312837210018188","1","","0.9985943775100402","0.9985943775100402","0.007855054011974389","0.006012913847947548"
"fold_sh4","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:07:46.000Z","83","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00011715153232216836","1","","0.999831365935919","0.999831365935919","0.00048614688510360306","0.0059885784758684875"
"fold_s390x","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:06:19.000Z","86","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.003679366782307625","1","","0.16789146410401357","0.16789146410401357","3.2580732447760448","0.005040977965462882"
"fold_s390","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:04:56.000Z","82","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00010930391727015376","1","","0.0003872966692486445","0.0003872966692486445","7.050188900511942","0.005108200562202525"
"fold_riscv64","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:03:36.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00033370094024576247","1","","0.9995495495495496","0.9995495495495496","0.003228354688534247","0.005739438670632735"
"fold_ppc64el","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:02:16.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.3514554798603058","1","","0.9991484530229918","0.9991484530229918","0.0019284054752850871","0.005372409737316103"
