"Name","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"fold_armel","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:54:31.000Z","53","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.024841785430908203","1","","1","1","0.0007956344890685397","0.02784796518861291"
"fold_arm64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:53:37.000Z","53","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0002499103138688952","1","","0.07315731573157316","0.07315731573157316","5.385847359372859","0.02505994832677092"
"fold_amd64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:52:44.000Z","51","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0012318178778514266","1","","0.9418231791113147","0.9418231791113147","0.16841530168186064","0.027847323002742935"
"fold_alpha","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:51:49.000Z","53","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.008995505049824715","1","","0.9816167212289096","0.9816167212289096","0.05208825529183424","0.027801751852386786"
"overall_metrics","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:51:35.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","","","0.6377612946729602","","","",""
"fold_x32","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:50:32.000Z","62","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0021989981178194284","1","","0.9774904214559388","0.9774904214559388","0.07038405378283863","0.025868063719614684"
"fold_sparc64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:49:28.000Z","62","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.010069968178868294","1","","0.1562881562881563","0.1562881562881563","4.400623316948231","0.02263191966159922"
"fold_sparc","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:48:27.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0761464387178421","1","","0.7995983935742972","0.7995983935742972","0.5022478642371985","0.027665112755253865"
"fold_sh4","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:47:27.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0003056007844861597","1","","0.2571669477234401","0.2571669477234401","5.4909898670770785","0.027259786366005897"
"fold_s390x","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:46:25.000Z","61","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0008552777580916882","1","","0.8024307518371961","0.8024307518371961","0.5530926217990262","0.025354335489624284"
