"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"fold_x32","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:40:07.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.033597204834222794","1","","0.9887452107279694","0.9887452107279694","0.11345639943347394","0.03388194200050572"
"fold_sparc64","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:39:54.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.06530969589948654","1","","0.8974358974358975","0.8974358974358975","0.22930103368484056","0.034636593136736"
"fold_sparc","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:39:41.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.003268592292442918","1","","0.9981927710843372","0.9981927710843372","0.03785608804378754","0.035743563408151"
"fold_sh4","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:39:27.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.004452493041753769","1","","0.999831365935919","0.999831365935919","0.05276313744565492","0.03646174218988531"
"fold_s390x","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:39:14.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.034599173814058304","1","","0.0033917467495760316","0.0033917467495760316","13.783866456576757","0.035011007140949305"
"fold_s390","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:39:01.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.04608910158276558","1","","0.7393493415956622","0.7393493415956622","0.5085109770298004","0.037767123808092565"
"fold_riscv64","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:38:48.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.02049165777862072","1","","0.0963963963963964","0.0963963963963964","6.090650285993304","0.03693984107470385"
"fold_ppc64el","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:38:34.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.0008119522826746106","1","","0.03917116094237866","0.03917116094237866","3.974090657063893","0.03452452203133317"
"fold_ppc64","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:38:21.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.0008705445216037333","1","","0.937169078715143","0.937169078715143","0.22588349597321616","0.03804605108986664"
"fold_powerpcspe","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:38:08.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.03579352796077728","1","","0.9997475385003788","0.9997475385003788","0.0005364064854729218","0.03804994434896521"
"fold_powerpc","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:37:55.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.007499864790588617","1","","0.9997245937758192","0.9997245937758192","0.0011683470686859852","0.03728406951639295"
"fold_mipsel","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:37:42.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.0010289839701727033","1","","0.936953642384106","0.936953642384106","0.15957138144363792","0.034288587997639675"
"fold_mips64el","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:37:29.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.035687148571014404","1","","0.9955936920222634","0.9955936920222634","0.014477079056686146","0.03751283897494068"
"fold_mips","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:37:16.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.049418821930885315","1","","0.9994389901823282","0.9994389901823282","0.003652087054693506","0.0354519515320531"
"fold_m68k","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:37:03.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.005308016203343868","1","","0.9934090909090908","0.9934090909090908","0.03246801853200178","0.03635592836036723"
"fold_ia64","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:36:51.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.007150824181735516","1","","0.0072231139646869984","0.0072231139646869984","21.30496066655868","0.03505651197833937"
"fold_i386","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:36:38.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.000906487344764173","1","","0.8565276962223527","0.8565276962223527","0.3680423317477107","0.03121165893673335"
"fold_hppa","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:36:25.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.052340731024742126","1","","0.15093167701863355","0.15093167701863355","3.4271777617303947","0.036836061193572765"
"fold_armhf","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:36:12.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","0.005713693797588348","1","","0.9989987484355444","0.9989987484355444","0.008727470418855932","0.03926607095025328"
