"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"fold_arm64","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:35:23.000Z","98","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.003258225042372942","1","","0.996974697469747","0.996974697469747","0.009294735027268825","0.028118107822213863"
"fold_amd64","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:33:46.000Z","96","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.003279356984421611","1","","0.863948694457169","0.863948694457169","0.558206410943598","0.020761277124769655"
"fold_alpha","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:32:09.000Z","96","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","4.416916370391846","1","","0.12364643666582724","0.12364643666582724","7.494146392458961","0.032431418567337576"
"overall_metrics","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:31:47.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","","","0.8564655843145391","","","",""
"fold_x32","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:29:44.000Z","122","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.002207138342782855","1","","0.9671934865900385","0.9671934865900385","0.11817881532933272","0.028553599791741387"
"fold_sparc64","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:27:45.000Z","118","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.01656143181025982","1","","0.7878510378510378","0.7878510378510378","0.46398563797657305","0.02704989551344512"
"fold_sparc","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:25:49.000Z","115","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.014800122007727625","1","","0.591566265060241","0.591566265060241","1.3215451890077343","0.027328544590300437"
"fold_sh4","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:23:53.000Z","114","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.007822743616998196","1","","0.9984822934232715","0.9984822934232715","0.007602754681776729","0.02909453142315967"
"fold_s390x","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:21:59.000Z","112","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.0019657304510474205","1","","0.35698134539287735","0.35698134539287735","1.637794098683766","0.02458799504679384"
"fold_s390","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:20:05.000Z","112","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.04577939957380295","1","","0.9790859798605732","0.9790859798605732","0.1251735980220047","0.030212801689837032"
